Country_Code,Indicator_Name,Indicator_Code,2010,2011,2012,2013,2014,2015
TKM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.037214777,0.044545708,0.053355958,0.06302996,0.071165296,0.080046898
COD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.002716407,0.002882916,0.003299397,0.003485962,0.003780361,0.00437007
FJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.03304962,0.033572026,0.037895928,0.043904277,0.046025895,0.051161799
SMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
LVA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.114089098,0.122198456,0.129996229,0.14056906,0.145071354,0.158814752
SYR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
LAO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.00905469,0.010415698,0.012254902,0.014038063,0.01549948,0.018439565
USA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.443227092,0.469171394,0.495098039,0.505652911,0.514129099,0.585802601
EGY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.02164071,0.024086301,0.026866516,0.028641417,0.030337397,0.035600085
GBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.366533865,0.373756161,0.386595023,0.396080648,0.409696626,0.461948412
NIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.013400942,0.014879568,0.016025641,0.016864519,0.017673188,0.020677894
GRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,
KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.00905469,0.00967172,0.010275264,0.011117392,0.012286173,0.014282669
ADO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.377308946,0.377383056,0.386595023,0.407669116,,
PNG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.011499457,0.01413559,0.017156863,0.019219898,0.021170022,
MAR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.026711336,0.028085186,0.028280543,0.029395138,0.02910878,0.032402473
BHS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.196124593,0.197991258,0.202205882,0.200207273,0.201398734,0.227137071
SUR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.070445491,0.075048824,0.082579186,0.086489542,0.090634156,0.099125986
BLZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,0.035947121,0.038500883,0.040158371,0.040889391,0.041867498,0.04711149
